GraphType;VertexAmount;EdgeAmount;Algorithm;Time
Connected;760;1139;BellmanFord;40513434
Connected;760;1139;FloydWarshall;6337754843
Sparse;760;759;Dijkstra;167024
Sparse;760;759;BellmanFord;29741909
Sparse;760;759;FloydWarshall;5120336813
Complete;810;327645;Dijkstra;12251066
Complete;810;327645;BellmanFord;8811192798
Complete;810;327645;FloydWarshall;11876251550
Connected;810;1214;Dijkstra;768381
Connected;810;1214;BellmanFord;45615386
Connected;810;1214;FloydWarshall;7546540248
Sparse;810;809;Dijkstra;178164
Sparse;810;809;BellmanFord;31478393
Sparse;810;809;FloydWarshall;5759005003
Complete;860;369370;Dijkstra;11467278
Complete;860;369370;BellmanFord;9656072637
Complete;860;369370;FloydWarshall;14187100052
Connected;860;1288;Dijkstra;826683
Connected;860;1288;BellmanFord;51475815
Connected;860;1288;FloydWarshall;8996592296
Sparse;860;859;Dijkstra;192645
Sparse;860;859;BellmanFord;35465085
Sparse;860;859;FloydWarshall;6876815163
Complete;910;413595;Dijkstra;12754115
Complete;910;413595;BellmanFord;11529191785
Complete;910;413595;FloydWarshall;16805247240
Connected;910;1364;Dijkstra;909325
Connected;910;1364;BellmanFord;58534147
Connected;910;1364;FloydWarshall;10685850602
Sparse;910;909;Dijkstra;207205
Sparse;910;909;BellmanFord;39911954
Sparse;910;909;FloydWarshall;8174610804
Complete;960;460320;Dijkstra;13938147
Complete;960;460320;BellmanFord;16898029725
Complete;960;460320;FloydWarshall;23127949024
Connected;960;1438;Dijkstra;957320
Connected;960;1438;BellmanFord;64662766
Connected;960;1438;FloydWarshall;12958024482
Sparse;960;959;Dijkstra;226640
Sparse;960;959;BellmanFord;46403759
Sparse;960;959;FloydWarshall;10075669586
Complete;1010;509545;Dijkstra;15691817
Complete;1010;509545;BellmanFord;16089329177
Complete;1010;509545;FloydWarshall;24121352609
Connected;1010;1514;Dijkstra;1039320
Connected;1010;1514;BellmanFord;70936720
Connected;1010;1514;FloydWarshall;14947976064
Sparse;1010;1009;Dijkstra;219860
Sparse;1010;1009;BellmanFord;49096020
Sparse;1010;1009;FloydWarshall;11237765150
